epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5939,0.51568,0.48283,1.03785,0.95085,0.84569,0.90815,0.78557,0.63862,0.51367,1.09783,0.00328125,0.00328125,0.00328125
2,30.131,0.52595,0.50258,1.03951,0.95257,0.85709,0.91682,0.79058,0.64877,0.51364,1.06625,0.00661131,0.00661131,0.00661131
3,42.1339,0.55588,0.51673,1.03295,0.95724,0.84662,0.92698,0.79047,0.67082,0.52443,1.07383,0.00993807,0.00993807,0.00993807
4,54.388,0.6201,0.56908,1.06669,0.92068,0.87822,0.92656,0.77445,0.6971,0.51289,1.04953,0.00998515,0.00998515,0.00998515
5,66.4448,0.64289,0.60795,1.08241,0.94207,0.89285,0.93522,0.78327,0.69634,0.52385,1.05806,0.0099802,0.0099802,0.0099802
6,78.7411,0.66222,0.6189,1.08825,0.92795,0.87813,0.937,0.78216,0.7238,0.51365,1.07029,0.00997525,0.00997525,0.00997525
7,91.3704,0.66432,0.63794,1.09341,0.93066,0.88177,0.93714,0.76745,0.72345,0.53637,1.06909,0.0099703,0.0099703,0.0099703
8,105.491,0.69174,0.66759,1.11609,0.95306,0.85527,0.93444,0.7675,0.75335,0.56982,1.07863,0.00996535,0.00996535,0.00996535
9,118.356,0.6977,0.67505,1.11453,0.91714,0.81243,0.90234,0.70295,0.86944,0.69562,1.1658,0.0099604,0.0099604,0.0099604
10,131.005,0.69971,0.64996,1.12045,0.86717,0.88304,0.92964,0.75855,0.77551,0.59532,1.09785,0.00995545,0.00995545,0.00995545
11,143.744,0.69758,0.67245,1.11935,0.932,0.87153,0.94153,0.76397,0.7252,0.54645,1.05655,0.0099505,0.0099505,0.0099505
12,157.905,0.70437,0.68176,1.11081,0.89143,0.83063,0.88326,0.67949,0.93932,0.8088,1.23328,0.00994555,0.00994555,0.00994555
